INCIDENT_ID,DATE,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MALICIOUS_OFFENSE
CR_102659,4-Jul-04,0,36,34,2,1,5,6,1,6,1,174,1,92,29,36,0
CR_189752,18-Jul-17,1,37,37,0,0,11,17,1,6,1,236,1,103,142,34,1
CR_184637,15-Mar-17,0,3,2,3,5,1,0,2,3,1,174,1,110,93,34,1
CR_139071,13-Feb-09,0,33,32,2,1,7,1,1,6,1,249,1,72,29,34,1
CR_109335,13-Apr-05,0,33,32,2,1,8,3,0,5,1,174,0,112,29,43,1
CR_96263,7-Apr-03,0,45,45,10,3,1,0,1,6,1,303,1,72,62,34,1
CR_131400,22-Jan-08,0,30,35,7,3,7,1,0,5,1,174,0,112,29,43,1
CR_11981,14-May-93,0,8,7,7,3,9,8,0,5,1,316,1,72,62,34,1
CR_184134,21-Aug-16,0,49,49,6,5,8,3,1,1,1,316,1,103,14,34,1
CR_32634,25-Aug-96,1,4,4,6,5,15,10,0,5,2,145,1,103,29,34,0
CR_83843,18-Sep-02,1,4,4,6,5,15,10,1,6,1,174,1,103,130,34,1
CR_7439,4-Mar-92,0,33,32,2,1,5,6,0,5,1,174,0,72,93,48,1
CR_192564,9-Jan-18,0,4,4,6,5,5,6,0,5,3,174,3,42,29,34,1
CR_148567,3-Dec-11,1,4,4,6,5,15,10,0,5,1,174,0,18,133,46,1
CR_106537,23-Nov-05,0,7,8,7,3,2,7,3,2,1,316,1,72,62,34,1
CR_38406,7-Mar-96,0,36,34,2,1,4,2,1,6,1,249,1,92,29,34,1
CR_131018,24-Jan-08,0,25,25,9,0,4,2,2,6,1,0,1,72,29,34,1
CR_2678,20-Aug-91,0,36,34,2,1,1,0,1,2,1,0,1,92,142,34,1
CR_140183,31-Aug-09,1,37,37,0,0,11,17,0,5,1,174,1,103,115,34,1
CR_11185,15-Oct-93,0,3,2,3,5,1,0,1,6,1,249,1,2,29,34,1
CR_6085,8-Mar-92,0,21,23,4,1,5,6,1,6,1,174,0,18,53,46,1
CR_124930,21-Jun-07,0,36,34,2,1,1,0,0,5,2,174,0,92,93,43,1
CR_64035,11-Dec-99,0,47,48,7,3,4,2,1,6,1,316,1,98,62,34,1
CR_85661,1-Mar-02,5,22,22,7,3,13,18,1,6,1,316,1,92,29,34,1
CR_31901,7-Apr-95,0,49,49,6,5,5,6,0,5,1,249,1,67,29,34,1
CR_73049,28-May-01,0,4,4,6,5,3,5,0,5,1,174,1,72,80,34,1
CR_148441,11-Jul-11,0,4,4,6,5,3,5,0,5,1,0,1,103,142,34,1
CR_99283,3-Jul-04,0,15,14,3,5,4,2,0,5,1,174,0,116,133,0,1
CR_152644,16-Aug-11,0,36,34,2,1,1,0,1,2,1,316,1,92,62,34,1
CR_187216,25-Jul-17,0,21,23,4,1,4,2,0,5,1,174,0,111,103,43,1
CR_165321,23-Aug-13,1,37,37,0,0,11,17,1,6,1,127,1,103,77,34,1
CR_198473,27-Sep-18,0,49,49,6,5,2,7,3,5,2,249,2,72,107,34,1
CR_92787,4-Apr-03,7,21,23,4,1,9,8,2,6,3,174,3,112,14,34,1
CR_64799,13-Feb-00,0,4,4,6,5,7,1,0,5,1,316,1,72,62,34,1
CR_193653,21-Apr-18,0,16,15,0,0,8,3,1,6,1,0,1,12,6,34,1
CR_115118,14-Oct-06,5,22,22,7,3,16,12,1,6,2,0,2,34,29,34,1
CR_109887,15-Apr-05,0,36,34,2,1,6,4,1,2,1,316,1,92,142,34,1
CR_139996,19-May-09,1,37,37,0,0,11,17,1,1,1,299,1,103,130,34,1
CR_173928,7-May-15,0,11,11,7,3,3,5,2,5,1,316,1,12,62,34,1
CR_104980,14-Sep-05,0,4,4,6,5,5,6,2,6,1,174,1,103,29,34,1
CR_70088,5-Jul-00,0,36,34,2,1,1,0,1,6,1,249,1,92,93,34,1
CR_8305,12-Jan-92,0,36,34,2,1,4,2,0,2,1,299,1,92,142,34,1
CR_65586,7-Apr-00,0,4,4,6,5,4,2,1,6,2,249,2,72,62,34,1
CR_9159,9-May-92,1,36,34,2,1,15,10,0,2,1,316,1,92,130,34,1
CR_31819,7-Oct-95,0,48,47,4,1,7,1,1,6,4,158,2,103,62,34,0
CR_16865,29-Aug-93,0,39,39,6,5,4,2,1,6,2,249,2,103,80,34,1
CR_21510,4-May-94,0,33,32,2,1,9,8,1,6,1,249,1,103,29,34,1
CR_156814,21-Jul-12,0,21,23,4,1,4,2,1,6,6,12,6,103,80,34,0
CR_27032,19-Apr-95,0,16,15,0,0,1,0,2,2,1,316,1,72,142,34,1
